categorie,question,reponse,temps_secondes,outils_utilises
simple,Quelle est la météo générale à marrakech ?,Je n'ai pas trouvé d'informations sur la météo générale à Marrakech.,1.71,"obtenir_meteo, obtenir_meteo"
simple,Quels sont les incontournables à voir à Marrakech ?,"Les incontournables à voir à Marrakech sont la place Jemaa el-Fna, la médina, la mosquée Koutoubia, le palais de la Bahia, les tombeaux saadiens, le jardin Majorelle et le marché aux épices. Il est également recommandé de goûter les spécialités locales telles que le tajine, le couscous, le jus d'orange frais et le thé à la menthe.",1.69,rechercher_guide
simple,Qu'est-ce que la place Jemaa el-Fna ?,"La place Jemaa el-Fna est un espace public animé situé au cœur de la médina de Marrakech, qui anime chaque soir avec des conteurs, des musiciens gnaouas, des charmeurs de serpents et des vendeurs de jus d'orange. Les environs regroupent des milliers d'artisans qui vendent des produits tels que du cuir, des tapis, des lanternes et des épices. La place est également entourée de sites incontournables tels que les jardins Majorelle, la Koutoubia et le palais de Bahia.",12.86,rechercher_guide
simple,Quelle est la meilleure période pour visiter Chefchaouen ?,"La meilleure période pour visiter Chefchaouen est le printemps (avril-mai) et le début de l'automne (septembre-octobre), car le climat de montagne est particulièrement agréable pendant ces périodes. Les hivers sont frais et pluvieux, tandis que les étés sont doux comparés au reste du pays.",22.61,rechercher_guide
simple,Pourquoi Chefchaouen est-elle appelée la ville bleue ?,"Chefchaouen est appelée la ville bleue en raison des façades bleues et blanches de sa médina, qui en font l'une des villes les plus photographiées du pays. Les ruelles et escaliers de la médina sont peints dans différentes nuances de bleu, ce qui donne à la ville son caractère unique et pittoresque.",23.34,rechercher_guide
simple,Quels sont les plats typiques de Fès ?,"Les plats typiques de Fès sont notamment la pastilla, une tourte feuilletée sucrée-salée traditionnellement préparée au pigeon avec des amandes et du sucre glace, la harira, une soupe épaisse à base de tomates, lentilles et pois chiches, et le msemen, une crêpe feuilletée servie au petit-déjeuner.",20.83,rechercher_guide
simple,Comment se déplacer dans la médina de Fès ?,"Pour se déplacer dans la médina de Fès, il est recommandé de suivre les ruelles piétonnes et de demander son chemin aux habitants ou aux guides locaux. Les taxis et les véhicules motorisés sont interdits dans la médina, ce qui permet de maintenir un environnement calme et authentique. Il est également possible de louer des vélos ou des scooters pour se déplacer plus rapidement, mais il est important de respecter les règles de circulation et les règles de sécurité. Enfin, il est possible de prendre des rickshaws ou des calèches pour se déplacer dans la médina, mais il est important de négocier le prix avant de monter.",22.98,rechercher_guide
simple,Quel est l'aéroport le plus proche de Marrakech ?,"L'aéroport le plus proche de Marrakech est l'aéroport Marrakech-Ménara. Il est situé à environ 6 kilomètres au sud-est du centre-ville et est desservi par de nombreuses compagnies aériennes, notamment des compagnies low-cost européennes. Les visiteurs peuvent se rendre en ville en utilisant les petits taxis beiges ou les calèches, qui sont les moyens de transport les plus utilisés par les touristes.",22.62,rechercher_guide
simple,Qu'est-ce que l'université Al Quaraouiyine ?,"L'université Al Quaraouiyine est une institution d'enseignement supérieur fondée en 859 à Fès, au Maroc. Elle est considérée comme l'une des plus anciennes universités du monde arabe et est reconnue pour son rôle important dans la transmission des connaissances et de la culture islamique. L'université Al Quaraouiyine a joué un rôle clé dans l'histoire du Maroc et a été un centre d'études et de recherche pour de nombreux savants et érudits. Aujourd'hui, l'université continue à jouer un rôle important dans l'éducation et la recherche au Maroc.",19.67,rechercher_guide
simple,Quel budget pour un séjour de 5 jours à 400 DH par jour ?,"Le budget total approximatif pour un séjour de 5 jours au Maroc, à un rythme de 400 DH par jour, est d'environ 2000 DH (hors avion).",15.18,estimer_budget
complexe,"Je pars 7 jours à Marrakech, donne-moi les sites à visiter, la météo et un budget.","Voici les informations que vous avez demandées :

**Sites à visiter à Marrakech**

Marrakech est la ville touristique la plus fréquentée du Maroc, célèbre pour la couleur ocre-rouge de ses remparts et de sa médina, classée au patrimoine mondial de l'UNESCO depuis 1985. Les sites incontournables à visiter à Marrakech incluent :

* La place Jemaa el-Fna, qui anime le centre de la médina chaque soir avec conteurs, musiciens gnaouas, etc.
* La Bahia, qui témoigne de l'architecture des dynasties passées.
* Les tombeaux saadiens, qui sont également un exemple de l'architecture des dynasties passées.

**Météo à Marrakech**

La météo à Marrakech est généralement chaude, avec des températures qui peuvent dépasser 38-40°C en été (juin à août). Les mois de mars à mai et de septembre à novembre offrent des températures agréables (18 à 28°C). Il est donc recommandé de visiter Marrakech pendant ces périodes pour éviter les températures trop chaudes.

**Budget pour 7 jours à Marrakech**

Le budget estimé pour 7 jours à Marrakech est de environ 3500 DH (hors avion), en fonction d'un budget journalier moyen de 500 DH. Cela inclut les repas, le transport local et les activités. Il est important de noter que ces chiffres sont approximatifs et peuvent varier en fonction de vos préférences et de vos dépenses personnelles.",33.88,"rechercher_guide, obtenir_meteo, estimer_budget, rechercher_guide"
complexe,Compare Marrakech et Fès en gastronomie et sites historiques.,"ERREUR: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kwvqf08zecbswxz1wyqkjzvy` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Used 4908, Requested 1168. Please try again in 760ms. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",8.75,aucun
